sample_id,person_id,display_name,analysis_group,face_type,face_type_ko,sequence,source_path,source_sha256,source_width,source_height
chungha_01,chungha,청하,female,snake,뱀상,1,사진데이터/청하1.png,3bc25cc62b7ff009625f6fa9e41d41514420152b11f3bb273976105d4e8c3ace,470,608
chungha_02,chungha,청하,female,snake,뱀상,2,사진데이터/청하2.png,4003f17f8e0e9cbc3527eb825c1b86cfd4a0422935bfd393a856a19eb48bbfad,386,422
chungha_03,chungha,청하,female,snake,뱀상,3,사진데이터/청하3.png,2cf1bb42112cbfc5c93992bf4215c4a5c456ea774894890c38ee90e3863496c2,472,612
heize_01,heize,헤이즈,female,snake,뱀상,1,사진데이터/헤이즈1.png,eca0acd97a68e977c2f61174f21b6ff5b87b06b5d3b8e8d128dd6fa202c4712d,232,294
heize_02,heize,헤이즈,female,snake,뱀상,2,사진데이터/헤이즈2.png,9272c29599abf3c23984406d3622e60a58c39a5082266b826b3b47a1fe599dba,496,636
heize_03,heize,헤이즈,female,snake,뱀상,3,사진데이터/헤이즈3.png,14ac80a7115fc3d68e9e6b0c3930ff42f7f9821b0544bde8376d3ca6acb54b23,312,418
kim_so_yeon_01,kim_so_yeon,김소연,female,snake,뱀상,1,사진데이터/김소연1.png,65cfb1e7e09b98ff022ff3b879982a86704c519cac3150dac16c2df46fa9df71,356,462
kim_so_yeon_02,kim_so_yeon,김소연,female,snake,뱀상,2,사진데이터/김소연2.png,798226f8f5c496b57af3b087f07d0c501b2eef0a9fddd36669849b528e6cf390,378,448
kim_so_yeon_03,kim_so_yeon,김소연,female,snake,뱀상,3,사진데이터/김소연3.png,b0c72acb3b3335438df19124e78bb4433c1b171f834d42cb55266ed23749ccd8,662,608
lee_joon_gi_01,lee_joon_gi,이준기,male,snake,뱀상,1,사진데이터/이준기1.png,1267e1227ac316fbf1b4e6f227812f76374a7f3a171c89e75d33eba63d54c3b0,398,392
lee_joon_gi_02,lee_joon_gi,이준기,male,snake,뱀상,2,사진데이터/이준기2.png,e81d9a7216358c014342e880423ffb306930abcde58d56f8b39a74bfb2acb638,322,418
lee_joon_gi_03,lee_joon_gi,이준기,male,snake,뱀상,3,사진데이터/이준기3.png,ce5de8aca695d12d3ef0cd9659aa0a20298ab214e78602f3cc59e280a94bdd8d,478,558
woo_do_hwan_01,woo_do_hwan,우도환,male,snake,뱀상,1,사진데이터/우도환1.png,118ddcd83351d238d154b20242a3c5195eae8e6e20c70907ab3624ad64e183cb,290,372
woo_do_hwan_02,woo_do_hwan,우도환,male,snake,뱀상,2,사진데이터/우도환2.png,44c7e5139ee61ca5ff411be374db047d9ae246c118d1f7bb66ab82ec337d414e,450,596
woo_do_hwan_03,woo_do_hwan,우도환,male,snake,뱀상,3,사진데이터/우도환3.png,02c09ea1c1dade07d4cfd31f4917903673b2fae5ea4f289378fe88a9e4116590,288,270
ten_nct_01,ten_nct,NCT 텐,male,snake,뱀상,1,사진데이터/NCT텐1.png,bdbbf0c7a5de490d6c1d32df6aa4202f8b488faeceab2d9eda36e951867e3819,350,450
ten_nct_02,ten_nct,NCT 텐,male,snake,뱀상,2,사진데이터/NCT텐2.png,db3311f3c1b7858bbfaf23ef31ba886c3e17c6ed782c0bd83d9ef3e584942bf9,430,502
ten_nct_03,ten_nct,NCT 텐,male,snake,뱀상,3,사진데이터/NCT텐3.png,d9760a5c19445c4ee37d728072b7a7eda45663ebd8a1487f139c71563f8e9b81,504,468
joshua_seventeen_01,joshua_seventeen,세븐틴 조슈아,male,snake,뱀상,1,사진데이터/세븐틴조슈아1.png,9e19c7f5cc10def23702c17ca3b6ff0558efd9279cc93c78cf8679fb80b2a00b,496,592
joshua_seventeen_02,joshua_seventeen,세븐틴 조슈아,male,snake,뱀상,2,사진데이터/세븐틴조슈아2.png,ee2d6855355e48f518e92bd5240ac4ff045abb25c7cdad0cc23aa27271422e79,442,530
joshua_seventeen_03,joshua_seventeen,세븐틴 조슈아,male,snake,뱀상,3,사진데이터/세븐틴조슈아3.png,715da8e272e6a01ee4124edd684a3b18e7657b4e82098b56fbf7842a86bf0004,472,470
chun_woo_hee_01,chun_woo_hee,천우희,female,dinosaur,공룡상,1,사진데이터/천우희1.png,fdc897ec1d5fff07b9908398e74727b5bf0cfe3877c44d73dadc1bb5c357d7fe,352,384
chun_woo_hee_02,chun_woo_hee,천우희,female,dinosaur,공룡상,2,사진데이터/천우희2.png,f74944af766a091960562146e2751545b01e65644008f157733f431a32538b34,268,310
chun_woo_hee_03,chun_woo_hee,천우희,female,dinosaur,공룡상,3,사진데이터/천우희3.png,05f4b038ce5f217c3b6f6ca95c4656287d1d27207c6d8b49d5e95d58f86effb0,514,566
song_ji_hyo_01,song_ji_hyo,송지효,female,dinosaur,공룡상,1,사진데이터/송지효1.png,9e4c916403d48d00d0a64623b5572b24894ed5f303ccfeeb66dcc3558a02706e,288,312
song_ji_hyo_02,song_ji_hyo,송지효,female,dinosaur,공룡상,2,사진데이터/송지효2.png,2a09804591618998f2412de26522ec1a72027dfc8dc88769077ab230ce5e471d,384,594
song_ji_hyo_03,song_ji_hyo,송지효,female,dinosaur,공룡상,3,사진데이터/송지효3.png,311bd635cfc9443c81a1213da17aaece806d1efd9227683486f10d7e7939d944,380,502
lee_hi_01,lee_hi,이하이,female,dinosaur,공룡상,1,사진데이터/이하이1.png,2bddf95ae5206810fa4755e1a0050ae65385f551ce14103089bdf500cc9f342f,274,310
lee_hi_02,lee_hi,이하이,female,dinosaur,공룡상,2,사진데이터/이하이2.png,78689a2e8e412b5c73c7b3199c49985a341890e8df336a32de51eb17709670a6,408,534
lee_hi_03,lee_hi,이하이,female,dinosaur,공룡상,3,사진데이터/이하이3.png,f2dbdafc81914185a41e47c9a9dd00e45290b1fe3407503ccbb4540f7cd0e2fd,432,660
kim_ah_joong_01,kim_ah_joong,김아중,female,dinosaur,공룡상,1,사진데이터/김아중1.png,169a9914a010f86fe93c98070bfac5f0ca9f12003a7fdbe07b6fa90543943f67,486,558
kim_ah_joong_02,kim_ah_joong,김아중,female,dinosaur,공룡상,2,사진데이터/김아중2.png,d12b50760bb77c59773e562497139647d2ccca6f35bdcaf8099adba950a36f84,414,522
kim_ah_joong_03,kim_ah_joong,김아중,female,dinosaur,공룡상,3,사진데이터/김아중3.png,ac195e0b02330a000b0dd56d182af0ff2eee3abdda48704ed7b5a313d2b2c6cf,430,620
kim_woo_bin_01,kim_woo_bin,김우빈,male,dinosaur,공룡상,1,사진데이터/김우빈1.png,26e9d946813c5dba9181f77c39e4ae4a8005116bc2238fd8b5a05df164a7cfe6,378,438
kim_woo_bin_02,kim_woo_bin,김우빈,male,dinosaur,공룡상,2,사진데이터/김우빈2.png,3a7182bea2f0d436181abf4a80f91069c8ec6d44e1d4d49b14f310d5beb87ad2,472,530
kim_woo_bin_03,kim_woo_bin,김우빈,male,dinosaur,공룡상,3,사진데이터/김우빈3.png,2b1bae6d808b6912edff13b4b60d2ac200395feb5edcffce7f9ba679c1c87b11,394,486
ok_taec_yeon_01,ok_taec_yeon,택연,male,dinosaur,공룡상,1,사진데이터/옥택연1.png,b73a76350d66b2cfdbdfcd98686f1afa349f9f9baca796f2867f76dd9a93d4b1,428,502
ok_taec_yeon_02,ok_taec_yeon,택연,male,dinosaur,공룡상,2,사진데이터/옥택연2.png,508475663102ca9c82ef0a2386a536856f11d9acc2db6a2f4db912cf73fffb93,470,616
ok_taec_yeon_03,ok_taec_yeon,택연,male,dinosaur,공룡상,3,사진데이터/옥택연3.png,764000e9dbedfd1274bdafd543c402c6c96c47f874d94ee7d3039d01cd2dae34,558,654
ryu_jun_yeol_01,ryu_jun_yeol,류준열,male,dinosaur,공룡상,1,사진데이터/류준열1.png,2ba8c76fd909fcd1465495973dabb916b666ddea8fa4124f55af37e6075a6bc4,376,444
ryu_jun_yeol_02,ryu_jun_yeol,류준열,male,dinosaur,공룡상,2,사진데이터/류준열2.png,095ed7ce051fbb39e026d962f9a1cd47590519dd7e4ed9a9eadb35b7da6e2deb,522,528
ryu_jun_yeol_03,ryu_jun_yeol,류준열,male,dinosaur,공룡상,3,사진데이터/류준열3.png,5e48744872306e51ece1b4ac06522c0a3c0513b4a02d579d6419299d8e952db2,520,608
gong_yoo_01,gong_yoo,공유,male,dinosaur,공룡상,1,사진데이터/공유1.png,9ac8f35602d57825eca59d833bb6a78bfbe024252341013f9475c0ea39b533df,378,494
gong_yoo_02,gong_yoo,공유,male,dinosaur,공룡상,2,사진데이터/공유2.png,d3cefc7ec7bc6c8a1ba74ec1bb92490f76615deb644258b35db35e8f0ddd093e,526,636
gong_yoo_03,gong_yoo,공유,male,dinosaur,공룡상,3,사진데이터/공유3.png,3df4fbcfa00b74b1c83edfaac9cd2e99130729e0586bd44de4b7414a26d9e498,472,584
hyun_bin_01,hyun_bin,현빈,male,wolf,늑대상,1,사진데이터/현빈1.png,63e233ce5c136567552879923a52220ac47934bcf1888a8fd5155236cfe5389e,328,394
hyun_bin_02,hyun_bin,현빈,male,wolf,늑대상,2,사진데이터/현빈2.png,239583d81bacb2316af230be9edd3828ee4159b4880cf9c983b9ef5c90bdcf6b,426,624
hyun_bin_03,hyun_bin,현빈,male,wolf,늑대상,3,사진데이터/현빈3.png,38ea067c9b4994d32deb52ca8c4e9fbf92dcd938619f454be5a78f899073b768,436,614
son_suk_ku_01,son_suk_ku,손석구,male,wolf,늑대상,1,사진데이터/손석구1.png,3f808754d1eaf6b09450524c1ceba459f211ea499c0edd2f894df2ea7c1b116d,442,524
son_suk_ku_02,son_suk_ku,손석구,male,wolf,늑대상,2,사진데이터/손석구2.png,a60e2bc1748a8033618e1107e39cdef4e25626f4fc0adb2e338649c309eb68d6,404,482
son_suk_ku_03,son_suk_ku,손석구,male,wolf,늑대상,3,사진데이터/손석구3.png,f16602608388ad98212bd5261423d2811b80b62bd6c72ec87cea3e0fc1388422,320,362
seo_in_guk_01,seo_in_guk,서인국,male,wolf,늑대상,1,사진데이터/서인국1.png,f86407d68c45fbd1209bd64b199bd4cadf6269f594713da8e803db253743ea1d,372,430
seo_in_guk_02,seo_in_guk,서인국,male,wolf,늑대상,2,사진데이터/서인국2.png,5d843f48714420be603fe03f7ab1dc5dde61f8c89b7faafd1ebd310ea0ac5345,410,418
seo_in_guk_03,seo_in_guk,서인국,male,wolf,늑대상,3,사진데이터/서인국3.png,81a75af5482892d46b5e78c17a431ccb0020bb420ca780e85bfd115e6495a2d4,376,432
lee_soo_hyuk_01,lee_soo_hyuk,이수혁,male,wolf,늑대상,1,사진데이터/이수혁1.png,d5c2982a159e50c58805e9950fcd09a57af36dff355724399a2b420a00686442,430,448
lee_soo_hyuk_02,lee_soo_hyuk,이수혁,male,wolf,늑대상,2,사진데이터/이수혁2.png,ff7a4e28033228638de1178c4ac86289484318c17f235282c4f9002a0df6de8e,456,592
lee_soo_hyuk_03,lee_soo_hyuk,이수혁,male,wolf,늑대상,3,사진데이터/이수혁3.png,8a1a300eda88548640e0f66f75c1b4498fd3b298ddfe90211f8c507caedbc4f7,486,528
